PId,IsBumpVirtual,SpeedCondition,TouchId,TouchType,Count
8,1.0,20.0,3508.171875,1.0,4.78125
8,1.0,30.0,3036.325,1.0,4.7
8,1.0,40.0,3148.9718309859154,1.0,4.605633802816901
8,1.0,50.0,3265.3333333333335,1.0,4.703703703703703
9,0.0,10.0,3863.9583333333335,1.0,4.208333333333333
9,0.0,20.0,3982.25,1.0,4.196428571428571
9,0.0,30.0,4103.864864864865,1.0,4.364864864864865
9,0.0,40.0,3627.5416666666665,1.0,4.333333333333333
9,0.0,50.0,3744.846153846154,1.0,4.538461538461538
9,1.0,10.0,3865.4411764705883,1.0,4.573529411764706
9,1.0,20.0,3983.0508474576272,1.0,4.728813559322034
9,1.0,30.0,4100.829268292683,1.0,4.487804878048781
9,1.0,40.0,3630.590163934426,1.0,4.622950819672131
9,1.0,50.0,3748.5283018867926,1.0,5.2075471698113205
10,0.0,10.0,4219.958333333333,1.0,5.4375
10,0.0,20.0,4340.021739130435,1.0,4.826086956521739
10,0.0,30.0,4574.479166666667,1.0,5.645833333333333
10,0.0,40.0,4704.945945945946,1.0,4.837837837837838
10,0.0,50.0,4458.725,1.0,5.5
10,1.0,10.0,4221.80303030303,1.0,5.166666666666667
10,1.0,20.0,4332.688888888889,1.0,5.2
10,1.0,30.0,4580.985507246377,1.0,5.594202898550725
10,1.0,40.0,4701.95,1.0,5.4
10,1.0,50.0,4460.0,1.0,5.886363636363637
11,0.0,10.0,5050.688888888889,1.0,4.2
11,0.0,20.0,4815.34,1.0,4.06
11,0.0,30.0,4931.038461538462,1.0,3.7884615384615383
11,0.0,40.0,5173.878048780488,1.0,4.390243902439025
11,0.0,50.0,5289.368421052632,1.0,3.8596491228070176
11,1.0,10.0,5054.985294117647,1.0,4.852941176470588
11,1.0,20.0,4817.530303030303,1.0,4.545454545454546
11,1.0,30.0,4936.035087719299,1.0,4.175438596491228
11,1.0,40.0,5172.283333333334,1.0,4.033333333333333
11,1.0,50.0,5292.309090909091,1.0,3.8363636363636364
12,0.0,10.0,5645.958333333333,1.0,4.916666666666667
12,0.0,20.0,5885.131147540984,1.0,4.836065573770492
12,0.0,30.0,5409.681818181818,1.0,5.25
12,0.0,40.0,5531.0,1.0,4.604166666666667
12,0.0,50.0,5766.917808219178,1.0,4.726027397260274
12,1.0,10.0,5647.704225352113,1.0,4.915492957746479
12,1.0,20.0,5885.315789473684,1.0,5.2105263157894735
12,1.0,30.0,5407.064516129032,1.0,5.806451612903226
12,1.0,40.0,5526.217391304348,1.0,4.782608695652174
12,1.0,50.0,5763.266666666666,1.0,5.2
13,0.0,10.0,6360.918367346939,1.0,4.36734693877551
13,0.0,20.0,6480.4655172413795,1.0,4.137931034482759
13,0.0,30.0,6243.957142857143,1.0,4.285714285714286
13,0.0,40.0,6005.84,1.0,4.84
13,0.0,50.0,6125.35593220339,1.0,4.254237288135593
13,1.0,10.0,6361.898550724638,1.0,4.536231884057971
13,1.0,20.0,6479.116666666667,1.0,5.1
13,1.0,30.0,6238.979166666667,1.0,5.0
13,1.0,40.0,5997.9473684210525,1.0,4.982456140350878
13,1.0,50.0,6119.396551724138,1.0,4.948275862068965
14,0.0,10.0,6716.139534883721,1.0,5.4186046511627906
14,0.0,20.0,6953.785714285715,1.0,5.119047619047619
14,0.0,30.0,7074.294117647059,1.0,5.647058823529412
14,0.0,40.0,6837.395348837209,1.0,5.4186046511627906
14,0.0,50.0,6597.71186440678,1.0,6.508474576271187
14,1.0,10.0,6718.626865671642,1.0,5.417910447761194
14,1.0,20.0,6954.079365079365,1.0,5.301587301587301
