PId,IsBump,SpeedCondition,VisualStimuliId,TouchId,TCT
1,1.0,10.0,8,52.666666666666664,2128.0
1,1.0,10.0,9,55.0,1090.0
1,1.0,10.0,10,52.333333333333336,1514.6666666666667
1,1.0,10.0,11,57.333333333333336,1299.0
1,1.0,10.0,12,48.5,1400.5
1,1.0,10.0,13,40.0,1347.5
1,1.0,10.0,14,68.5,1274.5
1,1.0,10.0,15,49.25,1350.0
1,1.0,10.0,16,55.666666666666664,1111.3333333333333
1,1.0,10.0,17,46.0,1275.5
1,1.0,10.0,18,84.0,1258.0
1,1.0,10.0,19,63.0,1624.5
1,1.0,10.0,20,33.5,1303.5
1,1.0,10.0,21,62.0,1425.0
1,1.0,10.0,22,78.33333333333333,1612.6666666666667
1,1.0,10.0,23,79.0,1198.0
1,1.0,10.0,24,79.0,1438.0
1,1.0,10.0,25,85.33333333333333,1320.6666666666667
1,1.0,10.0,26,75.0,2094.0
1,1.0,10.0,27,61.0,1643.0
1,1.0,10.0,28,86.33333333333333,1271.0
1,1.0,10.0,29,86.5,1510.5
1,1.0,20.0,0,187.33333333333334,1265.6666666666667
1,1.0,20.0,1,122.0,1434.0
1,1.0,20.0,2,150.75,1221.5
1,1.0,20.0,3,209.0,1097.0
1,1.0,20.0,4,191.66666666666666,1349.0
1,1.0,20.0,5,163.5,1209.5
1,1.0,20.0,6,221.0,1151.0
1,1.0,20.0,7,203.0,1132.0
1,1.0,20.0,8,189.0,1151.5
1,1.0,20.0,9,194.0,1248.0
1,1.0,20.0,10,197.0,1182.5
1,1.0,20.0,11,157.0,1182.0
1,1.0,20.0,12,176.33333333333334,1138.6666666666667
1,1.0,20.0,13,154.75,1178.25
1,1.0,20.0,14,194.0,1412.0
1,1.0,20.0,15,215.0,1213.6666666666667
1,1.0,20.0,16,211.0,1080.0
1,1.0,20.0,17,189.0,1201.3333333333333
1,1.0,20.0,18,167.0,1024.0
1,1.0,20.0,19,180.5,1538.5
1,1.0,20.0,20,192.33333333333334,1222.3333333333333
1,1.0,20.0,21,154.5,1165.5
1,1.0,20.0,22,174.66666666666666,1482.0
1,1.0,20.0,23,182.5,1203.0
1,1.0,20.0,24,131.33333333333334,1522.6666666666667
1,1.0,20.0,25,196.5,1192.0
1,1.0,20.0,26,206.66666666666666,1113.0
1,1.0,20.0,27,219.5,1117.0
1,1.0,20.0,28,119.0,1712.0
1,1.0,20.0,29,161.5,1275.5
1,1.0,30.0,0,289.3333333333333,1420.0
1,1.0,30.0,1,341.6666666666667,1845.3333333333333
